time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-02T00:18:43.990Z,12.1145,141.027,9,5.6,mww,,18,4.022,0.77,us,us20008fsm,2017-04-27T01:38:41.040Z,"265km NNE of Fais, Micronesia",earthquake,7.4,1.7,0.068,21,reviewed,us,us
2017-02-03T19:54:22.550Z,15.0701,-60.5254,44,5.8,mww,,34,0.448,0.82,us,us20008hh9,2017-04-27T01:38:43.040Z,"59km ENE of Sainte-Marie, Martinique",earthquake,4.1,1.9,,,reviewed,us,us
2017-02-06T13:02:45.140Z,3.4493,-74.6715,37.95,5.5,mww,,47,1.429,1.04,us,us20008hx7,2020-01-03T00:59:21.900Z,"16km ENE of Colombia, Colombia",earthquake,6.3,3.3,0.044,49,reviewed,us,us
2017-02-07T22:03:56.390Z,25.1912,63.2644,29.07,6.3,mww,,28,4.655,0.76,us,us20008ic7,2020-01-03T00:59:34.928Z,"22km WSW of Pasni, Pakistan",earthquake,7.5,3.3,,,reviewed,us,us
2017-02-10T14:03:43.920Z,9.9071,125.4516,15,6.5,mww,,36,2.822,0.95,us,us20008ixa,2020-01-03T00:59:51.312Z,"10km N of Mabua, Philippines",earthquake,5.2,1.7,,,reviewed,us,us
2017-02-18T12:10:17.970Z,-23.8613,-66.6592,222,6.4,mww,,28,2.415,1.23,us,us20008kn8,2017-05-13T01:03:24.040Z,"52km NW of San Antonio de los Cobres, Argentina",earthquake,6.9,1.8,0.04,60,reviewed,us,us
2017-02-20T23:55:48.750Z,-14.9768,-176.3811,6,5.5,mww,,95,4.584,0.84,us,us20008l0q,2017-05-17T01:19:34.040Z,"188km S of Mata-Utu, Wallis and Futuna",earthquake,10.9,1.8,,,reviewed,us,us
2017-02-21T14:09:04.320Z,-19.2814,-63.9047,595.98,6.5,mww,,14,4.242,0.9,us,us20008l41,2017-05-17T01:19:35.040Z,"41km E of Padilla, Bolivia",earthquake,9.6,3,0.04,59,reviewed,us,us
2017-02-23T21:10:31.460Z,-21.2622,174.3746,10,5.5,mww,,38,4.927,1.05,us,us20008lv9,2017-05-17T01:19:37.040Z,"58km NNW of Ceva-i-Ra, Fiji",earthquake,8.4,1.8,0.089,12,reviewed,us,us
2017-02-24T00:32:17.800Z,-8.4404,30.0305,30,5.9,mww,,16,7.03,1.2,us,us20008lww,2020-01-03T01:00:17.201Z,"40km E of Kaputa, Zambia",earthquake,7.4,1.7,0.053,34,reviewed,us,us
2017-02-24T17:28:44.840Z,-23.2593,-178.8036,414.5,6.9,mww,,19,6.012,0.95,us,us20008m3t,2017-05-17T01:19:38.040Z,"289km S of Ndoi Island, Fiji",earthquake,8.6,3.5,,,reviewed,us,us
2017-02-24T23:46:45.410Z,-17.9647,-178.4384,581.62,5.9,mww,,29,3.349,0.79,us,us20008man,2017-05-17T01:19:38.040Z,"288km SE of Lambasa, Fiji",earthquake,9.3,3.5,0.103,9,reviewed,us,us
2017-02-26T06:44:22.670Z,-18.6143,169.4041,255,5.5,mww,,33,2.964,0.93,us,us20008mhb,2017-05-24T02:48:08.040Z,"104km N of Isangel, Vanuatu",earthquake,5.7,1.9,0.056,31,reviewed,us,us
2017-02-28T07:49:02.860Z,37.5666,141.3347,47,5.7,mww,,52,0.527,1.03,us,us20008mw4,2020-01-03T01:00:33.135Z,"30km ENE of Namie, Japan",earthquake,6.8,1.8,0.049,40,reviewed,us,us
2017-02-28T17:35:40.370Z,-44.793,-80.8972,10,5.6,mww,,150,5.484,0.8,us,us100085qu,2017-05-24T02:48:11.040Z,"Off the coast of Aisen, Chile",earthquake,8.8,1.9,0.061,26,reviewed,us,us
2017-03-01T02:48:35.760Z,-57.2925,-142.6219,21.34,5.5,mww,,69,32.079,1.18,us,us100086wu,2017-05-24T02:48:11.040Z,"Pacific-Antarctic Ridge",earthquake,7.7,4.4,0.089,12,reviewed,us,us
2017-03-02T02:11:30.682Z,59.5785,-152.6546,78,5.6,mw,,,,0.92,ak,ak0172sx1gks,2019-06-18T15:37:34.254Z,"51km WSW of Anchor Point, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-03-02T11:07:26.880Z,37.616,38.4305,10,5.6,mww,,30,1.068,0.61,us,us100086gw,2020-01-03T00:01:08.195Z,"5km NW of Samsat, Turkey",earthquake,5,1,0.056,31,reviewed,us,us
2017-03-04T02:58:20.280Z,-7.3277,155.748,17,6.1,mww,,15,4.654,1.03,us,us100086x7,2020-01-03T00:01:21.461Z,"115km SSE of Panguna, Papua New Guinea",earthquake,6.8,1.6,0.056,31,reviewed,us,us
2017-03-05T00:08:18.010Z,9.8311,125.4961,10.51,5.7,mww,,76,2.745,0.74,us,us1000870s,2020-01-03T00:01:36.311Z,"5km N of Surigao, Philippines",earthquake,7.4,3.3,,,reviewed,us,us
2017-03-05T12:22:16.420Z,-55.1821,-129.1773,10,5.6,mwb,,48,30.086,0.94,us,us1000874a,2017-05-31T01:58:54.040Z,"Pacific-Antarctic Ridge",earthquake,8.1,1.7,0.073,18,reviewed,us,us
2017-03-05T22:47:53.970Z,-5.9945,149.3619,37,6.3,mww,,17,3.316,0.91,us,us1000876f,2020-01-03T00:01:49.803Z,"32km NW of Kandrian, Papua New Guinea",earthquake,7.4,1.9,,,reviewed,us,us
2017-03-07T15:45:39.560Z,-6.2615,102.1873,10,5.5,mww,,24,2.037,0.74,us,us100087gx,2017-05-31T01:58:56.040Z,"221km SW of Kuripan, Indonesia",earthquake,7.1,1.7,0.073,18,reviewed,us,us
2017-03-07T16:08:19.040Z,41.5149,141.9022,56,5.7,mww,,108,0.961,0.56,us,us100087h5,2020-01-03T00:02:04.894Z,"62km ENE of Mutsu, Japan",earthquake,6.8,1.9,,,reviewed,us,us
2017-03-07T23:38:22.520Z,-15.023,168.1626,8,5.6,mww,,50,5.789,0.81,us,us100087kn,2020-01-03T00:02:19.194Z,"119km E of Port-Olry, Vanuatu",earthquake,8.9,1.1,0.073,18,reviewed,us,us
2017-03-09T11:14:26.360Z,-60.1501,150.2994,10,5.9,mww,,44,7.347,0.99,us,us100087wv,2017-05-31T01:58:59.040Z,"West of Macquarie Island",earthquake,5.9,1.7,0.089,12,reviewed,us,us
2017-03-11T17:10:38.670Z,-30.5181,-177.5201,22,5.6,mww,,62,1.317,0.7,us,us100088f7,2017-05-31T01:59:01.040Z,"143km SSE of Raoul Island, New Zealand",earthquake,7.3,1.1,0.062,25,reviewed,us,us
2017-03-13T08:49:05.310Z,14.3879,145.2126,99,5.5,mww,,14,0.861,1.02,us,us100088m4,2017-06-07T00:33:37.040Z,"25km N of Rota, Northern Mariana Islands",earthquake,8.6,1.8,0.078,16,reviewed,us,us
2017-03-14T02:51:16.770Z,6.1457,92.3044,10,6,mww,,29,4.709,0.69,us,us100088sf,2017-06-07T00:33:38.040Z,"230km SSW of Mohean, India",earthquake,7.5,1.8,,,reviewed,us,us
2017-03-14T12:36:43.310Z,-21.0127,170.068,127,5.6,mww,,16,2.654,0.92,us,us100088vp,2017-06-07T00:33:38.040Z,"182km SSE of Isangel, Vanuatu",earthquake,7.9,1.8,0.078,16,reviewed,us,us
2017-03-14T15:03:39.960Z,-15.6691,-177.1211,10,5.7,mww,,74,5.064,0.48,us,us100088wf,2017-06-07T00:33:39.040Z,"188km SE of Sigave, Wallis and Futuna",earthquake,10.5,1.8,0.08,15,reviewed,us,us
2017-03-15T22:19:40.470Z,51.0789,179.076,19,5.6,mww,,38,0.33,0.88,us,us20008sd8,2019-06-18T15:47:10.193Z,"103km SSW of Semisopochnoi Island, Alaska",earthquake,4.7,1.7,0.058,29,reviewed,us,us
2017-03-16T18:39:26.270Z,-11.539,114.5737,10,5.5,mww,,46,3.077,1.43,us,us20008siq,2018-07-19T16:47:45.618Z,"South of Bali, Indonesia",earthquake,8.6,1.7,0.068,21,reviewed,us,us
2017-03-19T15:43:25.690Z,-8.1364,160.7536,8.37,6,mww,,32,1.519,0.92,us,us20008t6m,2020-01-03T01:00:47.643Z,"70km N of Auki, Solomon Islands",earthquake,7.9,3.3,0.068,21,reviewed,us,us
2017-03-21T23:10:25.150Z,-8.4915,115.3233,111.71,5.6,mww,,17,1.158,1.11,us,us20008tme,2020-01-03T01:01:02.575Z,"1km SE of Banjar Mulung, Indonesia",earthquake,6.9,3,0.066,22,reviewed,us,us
2017-03-25T14:57:27.810Z,-3.0487,136.8661,33.97,5.5,mww,,34,4.612,0.84,us,us20008ulq,2020-01-03T01:01:15.396Z,"111km NNE of Enarotali, Indonesia",earthquake,8,3.5,0.061,26,reviewed,us,us
2017-03-27T10:50:20.190Z,52.7586,172.2616,20,6.2,mww,,39,1.117,1.05,us,us20008uzn,2019-05-21T11:05:07.814Z,"63km W of Attu Station, Alaska",earthquake,6.9,1.7,,,reviewed,us,us
2017-03-29T04:09:24.190Z,56.9401,162.7861,17,6.6,mww,,14,4.591,0.75,us,us20008vhl,2020-01-03T01:01:42.501Z,"81km NNE of Ust'-Kamchatsk Staryy, Russia",earthquake,6.8,1.7,0.039,63,reviewed,us,us
2017-03-29T15:15:23.470Z,25.7127,-110.0237,17,5.7,mww,,68,0.894,0.83,us,us20008vll,2017-06-16T23:08:02.040Z,"78km WSW of Higuera de Zaragoza, Mexico",earthquake,2.6,1.8,0.054,33,reviewed,us,us
2017-03-31T11:21:01.040Z,0.3086,120.5802,94,5.5,mww,,17,0.822,1.1,us,us10008dhp,2020-01-03T00:02:31.885Z,"52km S of Tinabogan, Indonesia",earthquake,6.4,1.8,0.05,38,reviewed,us,us
2017-03-31T17:25:23.130Z,52.6741,-32.3187,10,5.5,mww,,25,11.095,0.59,us,us10008dm9,2017-06-16T23:08:05.040Z,"Reykjanes Ridge",earthquake,6.5,1.6,0.062,25,reviewed,us,us
2017-04-03T17:40:18.560Z,-22.6784,25.1558,29,6.5,mww,,15,2.36,1.11,us,us10008e3k,2020-01-03T00:02:58.127Z,"132km WSW of Moijabana, Botswana",earthquake,7.5,1.8,0.048,42,reviewed,us,us
2017-04-04T13:53:18.980Z,-55.6164,-30.0013,19.22,5.6,mww,,33,3.971,0.54,us,us10008eak,2017-06-23T07:26:30.040Z,"211km WNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.2,3.1,0.103,9,reviewed,us,us
2017-04-04T22:08:40.600Z,51.1865,-176.3772,17,5.6,mww,,56,0.722,0.77,us,us10008ef7,2019-06-18T18:33:04.216Z,"79km SSE of Adak, Alaska",earthquake,6.6,1.7,0.051,37,reviewed,us,us
2017-04-05T06:09:12.200Z,35.7755,60.4363,13,6.1,mww,,43,2.029,1.07,us,us10008ei0,2020-01-03T00:03:34.367Z,"61km NNW of Torbat-e Jam, Iran",earthquake,4.9,1.7,0.05,38,reviewed,us,us
2017-04-05T22:17:43.400Z,-19.0206,169.5787,253,5.6,mww,,20,2.809,0.82,us,us10008f2b,2017-06-23T07:26:33.040Z,"67km NNE of Isangel, Vanuatu",earthquake,8,1.8,0.08,15,reviewed,us,us
2017-04-08T07:07:56.660Z,13.7049,120.9305,10.22,5.5,mww,,35,0.395,0.72,us,us10008fsc,2020-01-03T00:04:05.533Z,"3km S of Talaga, Philippines",earthquake,7.3,3.9,0.086,13,reviewed,us,us
2017-04-08T07:09:23.180Z,13.7701,120.9354,14.26,5.9,mww,,50,8.073,0.78,us,us10008fsd,2020-01-03T00:04:19.436Z,"1km NNW of Mabini, Philippines",earthquake,7.6,3.7,0.068,21,reviewed,us,us
2017-04-09T00:14:30.750Z,-52.1762,139.6642,10,5.5,mww,,49,10.61,0.83,us,us10008fye,2017-07-05T18:09:53.040Z,"West of Macquarie Island",earthquake,4,1.7,0.103,9,reviewed,us,us
2017-04-10T00:43:54.580Z,13.0426,125.3617,10,5.7,mww,,11,4.429,0.98,us,us10008g4x,2017-07-05T18:09:54.040Z,"54km NE of Cabodiongan, Philippines",earthquake,4.9,1.7,0.057,30,reviewed,us,us
2017-04-10T10:38:47.900Z,5.6754,127.2013,13,5.8,mww,,25,2.125,0.95,us,us10008g7h,2017-07-05T18:09:55.040Z,"136km SE of Pondaguitan, Philippines",earthquake,7.3,1.7,0.059,28,reviewed,us,us
2017-04-11T14:42:16.530Z,5.7068,127.0949,12,5.7,mww,,63,2.025,0.74,us,us10008gkz,2017-07-05T18:09:56.040Z,"124km SE of Pondaguitan, Philippines",earthquake,8.2,1.7,0.066,22,reviewed,us,us
2017-04-11T21:21:00.860Z,7.6766,124.8119,8.28,5.8,mww,,22,0.97,0.61,us,us10008gsq,2020-01-03T00:04:49.967Z,"8km N of Osias, Philippines",earthquake,5.8,3,0.066,22,reviewed,us,us
2017-04-12T20:01:05.640Z,7.7228,124.8623,10,5.5,mww,,34,0.962,1.03,us,us10008h1u,2020-01-03T00:05:04.407Z,"9km S of Adtugan, Philippines",earthquake,6.5,1.7,0.073,18,reviewed,us,us
2017-04-13T16:05:46.660Z,5.7278,127.3001,10,5.5,mww,,73,2.168,0.87,us,us10008hb9,2017-07-05T18:09:58.040Z,"142km ESE of Pondaguitan, Philippines",earthquake,5.4,1.8,0.068,21,reviewed,us,us
2017-04-13T17:05:55.930Z,-18.2279,-178.1683,502.06,5.8,mww,,19,3.628,1.15,us,us10008hbv,2017-07-05T18:09:58.040Z,"273km NNE of Ndoi Island, Fiji",earthquake,9.4,3.3,0.073,18,reviewed,us,us
2017-04-15T08:19:43.390Z,-23.2653,-67.7225,155,6.3,mww,,24,1.273,1.14,us,us10008hu2,2020-01-03T00:05:18.470Z,"63km SE of San Pedro de Atacama, Chile",earthquake,6.5,1.9,0.035,78,reviewed,us,us
2017-04-16T09:44:05.850Z,-7.3725,83.1719,10,5.6,mww,,39,10.631,1.15,us,us10008i34,2017-07-11T01:48:33.040Z,"South Indian Ocean",earthquake,8.6,1.7,0.046,46,reviewed,us,us
2017-04-17T02:21:30.850Z,-13.3911,166.5962,16,5.7,mww,,56,7.37,0.86,us,us10008i97,2017-07-11T01:48:34.040Z,"116km WNW of Sola, Vanuatu",earthquake,8.1,1.8,0.063,24,reviewed,us,us
2017-04-17T05:23:15.060Z,17.4498,-61.1423,16,5.6,mww,,35,0.651,0.79,us,us10008iaa,2017-07-11T01:48:34.040Z,"74km ESE of Codrington, Barbuda",earthquake,3.9,1.7,0.06,27,reviewed,us,us
2017-04-18T17:11:47.030Z,-18.0877,-178.369,628,6,mww,,37,3.423,1.1,us,us10008iph,2017-07-11T01:48:36.040Z,"285km N of Ndoi Island, Fiji",earthquake,8.2,1.8,0.071,19,reviewed,us,us
2017-04-18T17:49:55.790Z,-2.7118,-75.3035,14,5.9,mww,,16,3.682,1.2,us,us10008iq5,2020-01-03T00:05:33.874Z,"255km WNW of Iquitos, Peru",earthquake,6.1,1.7,0.041,56,reviewed,us,us
2017-04-20T22:04:14.880Z,-36.2891,-98.4279,10,5.5,mwb,,78,13.052,0.84,us,us10008jej,2017-07-11T01:48:39.040Z,"Southeast of Easter Island",earthquake,10.9,1.8,0.086,13,reviewed,us,us
2017-04-20T22:59:24.600Z,-20.5417,-173.6017,13,5.6,mww,,38,3.754,1.15,us,us10008jeq,2017-07-11T01:48:39.040Z,"113km SE of Pangai, Tonga",earthquake,7.3,1.7,0.073,18,reviewed,us,us
2017-04-23T02:36:07.830Z,-33.0354,-72.0296,21,6,mww,,40,0.329,0.92,us,us10008jvr,2020-01-03T00:05:50.847Z,"37km W of Valparaiso, Chile",earthquake,3.7,1.7,0.05,39,reviewed,us,us
2017-04-23T19:40:10.740Z,-33.0147,-72.1154,20,5.6,mww,,61,0.401,1.28,us,us10008k2i,2017-07-21T02:32:02.040Z,"45km W of Valparaiso, Chile",earthquake,3.7,1.5,0.059,28,reviewed,us,us
2017-04-24T21:38:30.820Z,-33.0375,-72.0617,28,6.9,mww,,39,0.356,0.73,us,us10008kce,2020-01-03T00:06:04.532Z,"40km W of Valparaiso, Chile",earthquake,4.9,1.8,,,reviewed,us,us
2017-04-26T22:28:30.590Z,-54.8738,-130.2992,10,5.5,mwb,,60,31.435,0.77,us,us10008l61,2017-07-21T02:32:07.040Z,"Pacific-Antarctic Ridge",earthquake,14.3,1.8,0.08,15,reviewed,us,us
2017-04-27T14:46:33.160Z,51.2081,178.6346,19,5.7,mww,,125,2.708,0.96,us,us10008lai,2019-06-18T18:56:06.476Z,"82km S of Little Sitkin Island, Alaska",earthquake,7.8,1.8,0.051,37,reviewed,us,us
2017-04-27T18:46:45.410Z,-16.5296,-173.6463,59,5.5,mww,,27,3.168,0.91,us,us10008ld1,2017-07-21T02:32:09.040Z,"65km S of Hihifo, Tonga",earthquake,8.6,1.9,0.083,14,reviewed,us,us
2017-04-28T15:30:06.310Z,-33.219,-71.9694,22,5.9,mww,,67,0.34,1.2,us,us10008llg,2020-01-03T00:06:25.939Z,"37km WSW of Valparaiso, Chile",earthquake,4.7,1.8,0.062,25,reviewed,us,us
2017-04-28T16:05:57.030Z,-33.1297,-71.7998,27,5.8,mww,,59,0.173,1.03,us,us10008lm3,2020-01-03T00:06:38.887Z,"18km WSW of Valparaiso, Chile",earthquake,1.6,1.8,0.055,32,reviewed,us,us
2017-04-28T20:23:17.260Z,5.5043,125.0658,26,6.9,mww,,14,1.636,0.99,us,us10008ls4,2020-01-03T00:06:52.699Z,"31km SW of Burias, Philippines",earthquake,6.6,1.8,0.044,49,reviewed,us,us
2017-04-29T10:02:12.550Z,-9.6687,111.8495,10,5.5,mww,,39,2.182,0.84,us,us10008lzr,2017-07-21T02:32:11.040Z,"153km SSW of Tambakrejo, Indonesia",earthquake,6.9,1.8,0.052,36,reviewed,us,us
2017-04-29T12:32:34.130Z,30.815,131.4147,31,5.7,mww,,28,1.076,0.83,us,us10008m0g,2020-01-03T00:07:14.430Z,"40km ENE of Nishinoomote, Japan",earthquake,5.6,1.7,0.036,75,reviewed,us,us
2017-05-01T12:31:55.590Z,59.8209,-136.7114,10,6.2,mww,,28,0.554,0.96,us,us10008mel,2020-01-03T00:07:29.027Z,"88km WNW of Skagway, Alaska",earthquake,4.1,1.7,,,reviewed,us,us
2017-05-01T14:18:15.290Z,59.8295,-136.7042,2.53,6.3,mww,,,,0.85,us,us10008mgu,2020-01-03T00:08:00.234Z,"88km WNW of Skagway, Alaska",earthquake,2.8,3.2,,,reviewed,pgc,us
2017-05-01T14:20:24.380Z,59.7772,-136.6292,4.09,5.6,mb,,99,0.581,0.74,us,us10008rky,2019-06-18T20:47:37.274Z,"82km WNW of Skagway, Alaska",earthquake,2,5,0.124,23,reviewed,us,us
